Kecamatan;Rendah-Sedang;Sedang-Tinggi
Alor_Timur;3376.56;6753.12
Alor_Barat_Daya;1593.54;3187.08
Alor_Timur_Laut;1250.88;2501.76
Alor_Selatan;1157.88;2315.76
Pureman;887.28;1774.56
Abad_Selatan;1094.28;2188.56
Alor_Tengah_Utara;750.84;1501.68
Alor_Barat_Laut;647.76;1295.52
Mataru;616.62;1233.24
Telukmutiara;481.08;962.16
Lembur;454.74;909.48
Kabola;438.06;876.12
Pantar_Tengah;1836.12;3672.24
Pantar_Barat_Laut;900.78;1801.56
Pantar_Timur;848.64;1697.28
Pantar;718.92;1437.84
Pantar_Barat;352.26;704.52
Pulau_Pura;167.04;334.08
